band name vl jl vu ju lambda     f        gL  0-0R0   0  0  0  1 1108.12668 1.66e-03 1.86e+09 
L  1-0R0   0  0  1  1 1092.19299 5.79e-03 1.74e+09 
L  2-0R0   0  0  2  1 1077.13608 1.17e-02 1.63e+09 
L  3-0R0   0  0  3  1 1062.87908 1.79e-02 1.53e+09 
L  4-0R0   0  0  4  1 1049.36430 2.32e-02 1.45e+09 
L  5-0R0   0  0  5  1 1036.54258 2.68e-02 1.35e+09 
L  6-0R0   0  0  6  1 1024.37049 2.87e-02 1.26e+09 
L  7-0R0   0  0  7  1 1012.80982 2.97e-02 9.82e+08 
L  8-0R0   0  0  8  1 1001.82091 2.68e-02 8.09e+08 
L  9-0R0   0  0  9  1  991.37602 2.61e-02 6.59e+08 
L  10-0R0  0  0 10  1  981.43614 2.07e-02 6.32e+08 
L  11-0R0  0  0 11  1  971.98449 2.01e-02 6.07e+08 
L  12-0R0  0  0 12  1  962.97644 1.32e-02 4.71e+08 
L  13-0R0  0  0 13  1  954.41158 1.42e-02 4.61e+08 
L  14-0R0  0  0 14  1  946.16868 1.34e-03 6.37e+08 
L  15-0R0  0  0 15  1  938.46662 9.51e-03 3.82e+08 
L  16-0R0  0  0 16  1  931.06142 1.07e-02 3.76e+08 
L  17-0R0  0  0 17  1  923.98385 6.18e-03 3.16e+08 
L  18-0R0  0  0 18  1  917.25111 6.17e-03 3.03e+08 
L  19-0R0  0  0 19  1  910.82064 3.88e-03 2.74e+08 
L  20-0R0  0  0 20  1  904.70064 3.90e-03 2.63e+08 
L  21-0R0  0  0 21  1  898.85459 2.25e-03 2.54e+08 
L  22-0R0  0  0 22  1  893.29741 2.47e-03 2.37e+08 
L  23-0R0  0  0 23  1  887.98196 7.84e-04 2.46e+08 
L  24-0R0  0  0 24  1  882.95465 1.60e-03 2.07e+08 
L  25-0R0  0  0 25  1  878.18595 3.28e-03 2.55e+08 
L  26-0R0  0  0 26  1  873.60736 1.05e-03 1.75e+08 
L  27-0R0  0  0 27  1  869.30669 1.29e-03 1.69e+08 
L  28-0R0  0  0 28  1  865.23004 6.87e-04 1.49e+08 
L  29-0R0  0  0 29  1  861.41845 7.88e-04 1.41e+08 
L  30-0R0  0  0 30  1  857.85512 4.57e-04 1.28e+08 
L  31-0R0  0  0 31  1  854.58910 5.19e-04 1.18e+08 
L  32-0R0  0  0 32  1  851.63642 2.99e-04 1.03e+08 
L  33-0R0  0  0 33  1  849.07879 3.27e-04 8.87e+07 
L  34-0R0  0  0 34  1  847.00900 1.62e-04 6.63e+07 
L  35-0R0  0  0 35  1  845.61304 1.14e-04 3.74e+07 
L  36-0R0  0  0 36  1  845.03353 1.78e-04 1.51e+07 
L  37-0R0  0  0 37  1  844.84648 5.59e-07 6.11e+06 
W  0-0R0   0  0  0  1 1008.54988 4.40e-02 1.18e+09 
W  1-0R0   0  0  1  1  985.62981 6.90e-02 1.16e+09 
W  2-0R0   0  0  2  1  964.97936 6.87e-02 1.14e+09 
W  3-0R0   0  0  3  1  946.42192 6.20e-02 9.03e+08 
W  4-0R0   0  0  4  1  929.52992 3.42e-02 1.10e+09 
W  5-0R0   0  0  5  1  914.39456 2.43e-02 1.09e+09 
W  6-0R0   0  0  6  1  900.79678 1.65e-02 1.07e+09 
W  7-0R0   0  0  7  1  888.64907 1.15e-02 1.05e+09 
W  8-0R0   0  0  8  1  877.82409 4.75e-03 9.61e+08 
W  9-0R0   0  0  9  1  868.40239 3.63e-03 9.89e+08 
W  10-0R0  0  0 10  1  860.30815 2.68e-03 6.55e+08 
W  11-0R0  0  0 11  1  853.60197 1.72e-03 6.20e+08 
W  12-0R0  0  0 12  1  848.40151 1.11e-03 4.09e+08 
W  13-0R0  0  0 13  1  844.95199 5.36e-04 2.09e+08 
L  0-0P1   0  1  0  0 1110.06235 5.74e-04 1.87e+09 
L  0-0R1   0  1  0  2 1108.63258 1.08e-03 1.86e+09 
L  1-0P1   0  1  1  0 1094.05013 1.97e-03 1.74e+09 
L  1-0R1   0  1  1  2 1092.73018 3.79e-03 1.73e+09 
L  2-0P1   0  1  2  0 1078.92335 3.92e-03 1.63e+09 
L  2-0R1   0  1  2  2 1077.69642 7.69e-03 1.62e+09 
L  3-0P1   0  1  3  0 1064.60298 5.95e-03 1.53e+09 
L  3-0R1   0  1  3  2 1063.45724 1.19e-02 1.53e+09 
L  4-0P1   0  1  4  0 1051.03014 7.62e-03 1.45e+09 
L  4-0R1   0  1  4  2 1049.95673 1.56e-02 1.44e+09 
L  5-0P1   0  1  5  0 1038.15468 8.67e-03 1.35e+09 
L  5-0R1   0  1  5  2 1037.14676 1.81e-02 1.34e+09 
L  6-0P1   0  1  6  0 1025.93281 9.10e-03 1.26e+09 
L  6-0R1   0  1  6  2 1024.98483 1.96e-02 1.25e+09 
L  7-0P1   0  1  7  0 1014.32501 9.00e-03 9.81e+08 
L  7-0R1   0  1  7  2 1013.43388 2.05e-02 9.86e+08 
L  8-0P1   0  1  8  0 1003.29452 8.45e-03 8.22e+08 
L  8-0R1   0  1  8  2 1002.44918 1.82e-02 7.83e+08 
L  9-0P1   0  1  9  0  992.80810 7.68e-03 6.59e+08 
L  9-0R1   0  1  9  2  992.01330 1.83e-02 6.58e+08 
L  10-0P1  0  1 10  0  982.83382 6.81e-03 6.32e+08 
L  10-0R1  0  1 10  2  982.07227 1.36e-02 6.32e+08 
L  11-0P1  0  1 11  0  973.34400 5.92e-03 6.09e+08 
L  11-0R1  0  1 11  2  972.63113 1.40e-02 6.02e+08 
L  12-0P1  0  1 12  0  964.30993 5.02e-03 4.68e+08 
L  12-0R1  0  1 12  2  963.60651 7.08e-03 4.83e+08 
